Source,Type,Target,Weight
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_KUDA_i_KAK,22
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Mir_zhivotnyh_Tom_1,26
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Mir_zhivotnyh_Tom_2,20
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Na_kone_cherez_veka,8
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Nevidimye_niti_prirody,25
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Prichudy_prirody,22
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_S_utra_do_vechera,25
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_S_vechera_do_utra,24
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Sledy_nevidannyh_zverey,18
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Tragediya_dikih_zhivotnyh,25
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Tropoyu_legend,18
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Zhil_byl_bobr,3
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Akimushkin_Zhil_byl_medved,3
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Bianki_Fomka_razboynik,24
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Bianki_Gorod_i_les_u_morya,12
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Bianki_Kak_lis_ezha_perehitril,1
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Bianki_Lesnye_skazki_i_byli,23
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Bianki_Povesti_i_rasskazy,22
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Bianki_Rasskazy_i_skazki,18
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Bianki_Snezhnaya_kniga,1
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Brem-Tigri,8
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Brem_Zhizn_zhivotnih_Ribi_i_amfibii,20
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Brem_Zhizn_zhivotnyh_Tom_III_Presmykayushchiesya_Zemnovodnye_Ryby,19
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Brem_Zhizn_zhivotnyh_Tom_II_Pticy,26
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Brem_Zhizn_zhivotnyh_Tom_I_Mlekopitayushchie,27
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Darrell_Ay_ay_i_ya,13
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Darrell_File_iz_paltusa,10
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Darrell_File_iz_paltusa_Zveri_v_moey-posteli,13
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Darrell_Mama_na_vydane,9
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Darrell_Myasnoy_rulet_Vstrechi_s_zhivotnymi,14
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Darrell_Naturalist_na_mushke_ili_Gruppovoy_portret_s_prirodoy,23
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Darrell_Novyy_Noy,12
Akimushkin_Chem_krolik_na_zayca_ne_pohozh,Undirected,Darrell_Oslokrady,7
